1471:distance error all: 0.008974999999999511;distance error:0.0010000000000012221
1476:distance error all: 0.015956000000002746;distance error:0.006979000000001179
1481:distance error all: 0.014953999999999468;distance error:0.0009969999999981383
1486:distance error all: 0.010967999999998312;distance error:0.000996000000000663
1489:distance error all: 0.012964000000000198;distance error:0.0
1494:distance error all: 0.001996000000001885;distance error:0.0
1499:distance error all: 0.010971999999998872;distance error:0.000994999999999635
1504:distance error all: 0.0029940000000010514;distance error:0.000997000000001691
1509:distance error all: 0.02193899999999971;distance error:0.010967000000000837
1512:distance error all: 0.01296299999999917;distance error:0.000994999999999635
1517:distance error all: 0.0009969999999981383;distance error:0.0
1522:distance error all: 0.013964999999998895;distance error:0.001991000000000298
1527:distance error all: 0.0029930000000000234;distance error:0.000998000000002719
1532:distance error all: 0.015957999999997696;distance error:0.0019919999999977733
1535:distance error all: 0.009972999999998677;distance error:0.006980999999999682
1540:distance error all: 0.010971000000001396;distance error:0.007978000000001373
1545:distance error all: 0.020948000000000633;distance error:0.0009990000000001942
1550:distance error all: 0.01994799999999941;distance error:0.008976999999998014
1555:distance error all: 0.001995000000000857;distance error:0.0009979999999991662
1558:distance error all: 0.008974999999999511;distance error:0.0009969999999981383
1563:distance error all: 0.009975000000000733;distance error:0.0009990000000001942
1568:distance error all: 0.012964000000000198;distance error:0.000996000000000663
1573:distance error all: 0.02193899999999971;distance error:0.009972000000001202
1578:distance error all: 0.01894799999999819;distance error:0.007977000000000345
1581:distance error all: 0.006983999999999213;distance error:0.0
1586:distance error all: 0.00997499999999718;distance error:0.007980999999997351
1591:distance error all: 0.011966999999998507;distance error:0.000994999999999635
1596:distance error all: 0.0029900000000004923;distance error:0.000996000000000663
1602:distance error all: 0.017952000000001078;distance error:0.006979000000001179
1605:distance error all: 0.010970999999997844;distance error:0.000996000000000663
1608:distance error all: 0.0019939999999998292;distance error:0.0009979999999991662
1613:distance error all: 0.013963000000000392;distance error:0.0
1618:distance error all: 0.003989999999998162;distance error:0.000996000000000663
1623:distance error all: 0.0019959999999983324;distance error:0.0
1626:distance error all: 0.010971999999998872;distance error:0.000996000000000663
1631:distance error all: 0.004985999999998825;distance error:0.0009939999999986071
1636:distance error all: 0.0039879999999996585;distance error:0.0009930000000011319
1641:distance error all: 0.023933999999997013;distance error:0.009973999999999705
1646:distance error all: 0.012963999999996645;distance error:0.00598099999999846
1649:distance error all: 0.010970000000000368;distance error:0.0019949999999973045
1654:distance error all: 0.0029909999999979675;distance error:0.0009929999999975792
1659:distance error all: 0.02194199999999924;distance error:0.008970999999998952
1664:distance error all: 0.0029889999999994643;distance error:0.0009969999999981383
1669:distance error all: 0.010967999999998312;distance error:0.0009969999999981383
1672:distance error all: 0.003992000000000218;distance error:0.0010009999999986974
1677:distance error all: 0.0019949999999973045;distance error:0.0009979999999991662
1682:distance error all: 0.01994799999999941;distance error:0.008976999999998014
1687:distance error all: 0.008977000000001567;distance error:0.0
1692:distance error all: 0.009971000000000174;distance error:0.000996000000000663
1695:distance error all: 0.008973000000001008;distance error:0.000998000000002719
1700:distance error all: 0.0039890000000006864;distance error:0.0009769999999988954
1715:distance error all: 0.002987000000000961;distance error:0.0009979999999991662
1732:distance error all: 0.009975000000000733;distance error:0.00698200000000071
1749:distance error all: 0.0109729999999999;distance error:0.000997000000001691
1766:distance error all: 0.0019959999999983324;distance error:0.0
1781:distance error all: 0.011969000000000563;distance error:0.0
1798:distance error all: 0.000998000000002719;distance error:0.0
1814:distance error all: 0.011962999999997947;distance error:0.008974999999999511
1829:distance error all: 0.009975000000000733;distance error:0.0
1846:distance error all: 0.009975000000000733;distance error:0.0
1863:distance error all: 0.008976000000000539;distance error:0.0009979999999991662
1880:distance error all: 0.009976999999999236;distance error:0.0
1895:distance error all: 0.0029970000000005825;distance error:0.0010019999999997253
1912:distance error all: 0.015957999999997696;distance error:0.000996000000000663
1929:distance error all: 0.0029940000000010514;distance error:0.0009969999999981383
1944:distance error all: 0.003992999999997693;distance error:0.0
1961:distance error all: 0.001995000000000857;distance error:0.0009979999999991662
1978:distance error all: 0.013960999999998336;distance error:0.000994999999999635
1995:distance error all: 0.011966000000001031;distance error:0.0009969999999981383
2010:distance error all: 0.0029930000000000234;distance error:0.000996000000000663
2027:distance error all: 0.000997000000001691;distance error:0.0
2044:distance error all: 0.00997300000000223;distance error:0.006980000000002207
2059:distance error all: 0.012964000000000198;distance error:0.001995000000000857
2076:distance error all: 0.012965000000001226;distance error:0.000997000000001691
2093:distance error all: 0.003987000000002183;distance error:0.000997000000001691
2110:distance error all: 0.003985000000000127;distance error:0.000996000000000663
2125:distance error all: 0.0039890000000006864;distance error:0.000996000000000663
2134:distance error all: 0.01296299999999917;distance error:0.0
2139:distance error all: 0.004978000000001259;distance error:0.000997000000001691
2142:distance error all: 0.011969000000000563;distance error:0.000992000000000104
2145:distance error all: 0.008976999999998014;distance error:0.000996000000000663
2150:distance error all: 0.009975000000000733;distance error:0.0009979999999991662
2155:distance error all: 0.0029939999999974987;distance error:0.0009999999999976694
2158:distance error all: 0.015958999999998724;distance error:0.001995000000000857
2163:distance error all: 0.0029950000000020793;distance error:0.0
2168:distance error all: 0.012965000000001226;distance error:0.0009950000000031878
2173:distance error all: 0.0029929999999964707;distance error:0.0009969999999981383
2176:distance error all: 0.000998000000002719;distance error:0.0
2181:distance error all: 0.07081299999999402;distance error:0.0009949999999960824
2188:distance error all: 0.0019959999999983324;distance error:0.0
2191:distance error all: 0.002995000000005632;distance error:0.0010000000000047748
2196:distance error all: 0.008977000000001567;distance error:0.0
2199:distance error all: 0.011969000000000563;distance error:0.000998000000002719
2201:distance error all: 0.010975000000001955;distance error:0.0009990000000001942
2203:distance error all: 0.021940999999998212;distance error:0.0009990000000001942
2205:distance error all: 0.0019929999999988013;distance error:0.0
2210:distance error all: 0.0009990000000001942;distance error:0.0
2215:distance error all: 0.012967000000003281;distance error:0.0
2219:distance error all: 0.000998000000002719;distance error:0.0
2224:distance error all: 0.000998000000002719;distance error:0.0
2228:distance error all: 0.00399099999999919;distance error:0.000998000000002719
2233:distance error all: 0.0009969999999981383;distance error:0.0
2238:distance error all: 0.0020030000000019754;distance error:0.0
2242:distance error all: 0.0019959999999983324;distance error:0.0
2247:distance error all: 0.001997000000002913;distance error:0.0
2251:distance error all: 0.0029919999999989955;distance error:0.0
2256:distance error all: 0.011966999999998507;distance error:0.0
2261:distance error all: 0.012965000000001226;distance error:0.0009990000000001942
2265:distance error all: 0.010972000000002424;distance error:0.000996000000000663
2270:distance error all: 0.009971000000000174;distance error:0.0
2274:distance error all: 0.010970000000000368;distance error:0.0009999999999976694
2279:distance error all: 0.00897399999999493;distance error:0.007975999999999317
2284:distance error all: 0.0019929999999988013;distance error:0.0
2288:distance error all: 0.001982999999995627;distance error:0.0
2293:distance error all: 0.0109729999999999;distance error:0.0009979999999956135
2297:distance error all: 0.013963999999994314;distance error:0.0009999999999976694
2302:distance error all: 0.0019929999999988013;distance error:0.0
2307:distance error all: 0.0019939999999962765;distance error:0.0
2311:distance error all: 0.010970999999997844;distance error:0.0
2316:distance error all: 0.009977999999996712;distance error:0.0009999999999976694
2320:distance error all: 0.011968000000003087;distance error:0.0
2325:distance error all: 0.008975999999996986;distance error:0.0009990000000001942
2330:distance error all: 0.002993999999993946;distance error:0.0
2334:distance error all: 0.001996000000005438;distance error:0.0
2339:distance error all: 0.011964000000006081;distance error:0.000996000000000663
2343:distance error all: 0.0029810000000054515;distance error:0.0
2348:distance error all: 0.0019959999999983324;distance error:0.0
2353:distance error all: 0.014961999999997033;distance error:0.0019959999999983324
2357:distance error all: 0.009972999999995125;distance error:0.0009979999999956135
2362:distance error all: 0.0019980000000003884;distance error:0.0
2366:distance error all: 0.000998000000002719;distance error:0.0
2371:distance error all: 0.00997499999999718;distance error:0.000998000000002719
